Vocabulary,Segmented Vocabulary,Telex Combination
búa bổ,búa_bổ,busa_boor
búa bổ củi,búa_bổ_củi,busa_boor_curi
búa chày,búa_chày,busa_chafy
búa chém,búa_chém,busa_chesm
búa chèn,búa_chèn,busa_chefn
búa đanh,búa_đanh,busa_ddanh
búa đinh,búa_đinh,busa_ddinh
búa gió,búa_gió,busa_gios
búa gió; búa hơi,búa_gió;_búa_hơi,busa_gios;_busa_howi
búa gõ,búa_gõ,busa_gox
búa hơi,búa_hơi,busa_howi
búa khoan,búa_khoan,busa_khoan
búa liềm,búa_liềm,busa_lieefm
búa máy đóng cọc,búa_máy_đóng_cọc,busa_masy_ddosng_cojc
búa nguyệt,búa_nguyệt,busa_nguyeejt
búa quai,búa_quai,busa_quai
búa rìu,búa_rìu,busa_rifu
búa tạ,búa_tạ,busa_taj
búa tay,búa_tay,busa_tay
bục,bục,bujc
bugi,bugi,bugi
bui,bui,bui
bui bui,bui_bui,bui_bui
bùi,bùi,bufi
bùi bằng đoàn,bùi_bằng_đoàn,bufi_bawfng_ddoafn
bùi béo,bùi_béo,bufi_beso
bùi bỉnh uyên,bùi_bỉnh_uyên,bufi_birnh_uyeen
bùi cầm hổ,bùi_cầm_hổ,bufi_caafm_hoor
bùi công nghiệp,bùi_công_nghiệp,bufi_coong_nghieejp
bùi dục tài,bùi_dục_tài,bufi_dujc_tafi
bùi đắc tuyên,bùi_đắc_tuyên,bufi_ddawsc_tuyeen
bùi huy tín,bùi_huy_tín,bufi_huy_tisn
bùi miệng,bùi_miệng,bufi_mieejng
bùi ngậy,bùi_ngậy,bufi_ngaajy
bùi nghịt,bùi_nghịt,bufi_nghijt
bùi ngùi,bùi_ngùi,bufi_ngufi
bùi nhùi,bùi_nhùi,bufi_nhufi
bùi quang chiêu,bùi_quang_chiêu,bufi_quang_chieeu
bùi sĩ tiêm,bùi_sĩ_tiêm,bufi_six_tieem
bùi tai,bùi_tai,bufi_tai
bùi thế đạt,bùi_thế_đạt,bufi_thees_ddajt
bùi thị xuân,bùi_thị_xuân,bufi_thij_xuaan
bùi xá,bùi_xá,bufi_xas
bùi xương trạch,bùi_xương_trạch,bufi_xuwowng_trajch
búi,búi,busi
búi bấn,búi_bấn,busi_baasn
búi củ hành,búi_củ_hành,busi_cur_hafnh
búi rễ,búi_rễ,busi_reex
búi tó,búi_tó,busi_tos
búi tóc,búi_tóc,busi_tosc
búi tóc củ hành đàn anh thiên hạ,búi_tóc_củ_hành_đàn_anh_thiên_hạ,busi_tosc_cur_hafnh_ddafn_anh_thieen_haj
bụi,bụi,buji
bụi bặm,bụi_bặm,buji_bawjm
bụi bậm,bụi_bậm,buji_baajm
bụi bờ,bụi_bờ,buji_bowf
bụi đời,bụi_đời,buji_ddowfi
bụi hồng,bụi_hồng,buji_hoofng
bụi mù,bụi_mù,buji_muf
bụi phóng xạ,bụi_phóng_xạ,buji_phosng_xaj
bụi phổi,bụi_phổi,buji_phoori
bụi rậm,bụi_rậm,buji_raajm
bụi trần,bụi_trần,buji_traafn
buji,buji,buji
bulông,bulông,buloong
bum búp,bum_búp,bum_busp
bùm,bùm,bufm
bùm bũm,bùm_bũm,bufm_buxm
bùm bụm,bùm_bụm,bufm_bujm
bùm bụp,bùm_bụp,bufm_bujp
bùm tum,bùm_tum,bufm_tum
bủm,bủm,burm
bụm,bụm,bujm
bun nưa,bun_nưa,bun_nuwa
bun tở,bun_tở,bun_towr
bùn,bùn,bufn
bùn dơ,bùn_dơ,bufn_dow
bùn hoa,bùn_hoa,bufn_hoa
bùn lầy,bùn_lầy,bufn_laafy
bùn lầy nước đọng,bùn_lầy_nước_đọng,bufn_laafy_nuwowsc_ddojng
bùn nhơ,bùn_nhơ,bufn_nhow
bùn non,bùn_non,bufn_non
bủn,bủn,burn
bủn chủn,bủn_chủn,burn_churn
bủn nhủn,bủn_nhủn,burn_nhurn
bủn rủn,bủn_rủn,burn_rurn
bủn sẻn,bủn_sẻn,burn_sern
bủn xỉn,bủn_xỉn,burn_xirn
bún,bún,busn
bún bò,bún_bò,busn_bof
bún bung,bún_bung,busn_bung
bún chả,bún_chả,busn_char
bún lá,bún_lá,busn_las
bún ốc,bún_ốc,busn_oosc
bún riêu,bún_riêu,busn_rieeu
bún riêu cua,bún_riêu_cua,busn_rieeu_cua
bún tàu,bún_tàu,busn_tafu
bún tàu,bún_tàu,busn_tafu
bún thang,bún_thang,busn_thang
bung,bung,bung
bung bủng,bung_bủng,bung_burng
bung búng,bung_búng,bung_busng
bung búng như ngậm hột thị,bung_búng_như_ngậm_hột_thị,bung_busng_nhuw_ngaajm_hoojt_thij
bung xung,bung_xung,bung_xung
bung xung đỡ đạn,bung_xung_đỡ_đạn,bung_xung_ddowx_ddajn
bùng,bùng,bufng
bùng binh,bùng_binh,bufng_binh
bùng bục,bùng_bục,bufng_bujc
bùng bùng,bùng_bùng,bufng_bufng
bùng cháy,bùng_cháy,bufng_chasy
bùng nền,bùng_nền,bufng_neefn
bùng nhùng,bùng_nhùng,bufng_nhufng
bùng nổ,bùng_nổ,bufng_noor
bùng nổ dân số,bùng_nổ_dân_số,bufng_noor_daan_soos
bủng,bủng,burng
bủng beo,bủng_beo,burng_beo
bủng bớt,bủng_bớt,burng_bowst
bủng dứ,bủng_dứ,burng_duws
búng,búng,busng
búng báng,búng_báng,busng_basng
búng lao,búng_lao,busng_lao
búng một cái thì ngã,búng_một_cái_thì_ngã,busng_moojt_casi_thif_ngax
búng quay,búng_quay,busng_quay
búng ra nước,búng_ra_nước,busng_ra_nuwowsc
búng ra sữa,búng_ra_sữa,busng_ra_suwxa
bụng,bụng,bujng
"bụng bàn mai, chân ống sậy","bụng_bàn_mai,_chân_ống_sậy","bujng_bafn_mai,_chaan_oosng_saajy"
bụng bảo dạ,bụng_bảo_dạ,bujng_baro_daj
bụng bầu,bụng_bầu,bujng_baafu
bụng bồ kết,bụng_bồ_kết,bujng_boof_keest
bụng cao dạ dốc,bụng_cao_dạ_dốc,bujng_cao_daj_doosc
bụng chân,bụng_chân,bujng_chaan
bụng cóc,bụng_cóc,bujng_cosc
bụng dạ,bụng_dạ,bujng_daj
bụng dưới,bụng_dưới,bujng_duwowsi
bụng đói cật rét,bụng_đói_cật_rét,bujng_ddosi_caajt_rest
bụng đói đầu gối phải bò,bụng_đói_đầu_gối_phải_bò,bujng_ddosi_ddaafu_goosi_phari_bof
bụng đói miệng khát,bụng_đói_miệng_khát,bujng_ddosi_mieejng_khast
bụng đói thì tai điếc,bụng_đói_thì_tai_điếc,bujng_ddosi_thif_tai_ddieesc
bụng làm dạ chịu,bụng_làm_dạ_chịu,bujng_lafm_daj_chiju
bụng mang dạ chửa,bụng_mang_dạ_chửa,bujng_mang_daj_chuwra
bụng nhụng,bụng_nhụng,bujng_nhujng
bụng như bàn mai,bụng_như_bàn_mai,bujng_nhuw_bafn_mai
bụng như tang trống,bụng_như_tang_trống,bujng_nhuw_tang_troosng
bụng ỏng,bụng_ỏng,bujng_orng
bụng ỏng đít beo,bụng_ỏng_đít_beo,bujng_orng_ddist_beo
bụng ỏng đít teo,bụng_ỏng_đít_teo,bujng_orng_ddist_teo
bụng ỏng đít von,bụng_ỏng_đít_von,bujng_orng_ddist_von
bụng phệ,bụng_phệ,bujng_pheej
bụng sệ,bụng_sệ,bujng_seej
bụng tàu,bụng_tàu,bujng_tafu
"bụng thúng cái, lưng cánh phản","bụng_thúng_cái,_lưng_cánh_phản","bujng_thusng_casi,_luwng_casnh_pharn"
bụng to vượt mặt,bụng_to_vượt_mặt,bujng_to_vuwowjt_mawjt
"bụng trâu làm sao, bụng bò làm vậy","bụng_trâu_làm_sao,_bụng_bò_làm_vậy","bujng_traau_lafm_sao,_bujng_bof_lafm_vaajy"
bụng trên,bụng_trên,bujng_treen
bụng trống,bụng_trống,bujng_troosng
bụng xụng,bụng_xụng,bujng_xujng
bunke,bunke,bunke
bunker,bunker,bunker
buộc,buộc,buoojc
buộc boa,buộc_boa,buoojc_boa
buộc chân,buộc_chân,buoojc_chaan
buộc chỉ chân voi,buộc_chỉ_chân_voi,buoojc_chir_chaan_voi
buộc chỉ cổ tay,buộc_chỉ_cổ_tay,buoojc_chir_coor_tay
"buộc cổ mèo, treo cổ chó","buộc_cổ_mèo,_treo_cổ_chó","buoojc_coor_mefo,_treo_coor_chos"
buộc lòng,buộc_lòng,buoojc_lofng
buộc néo,buộc_néo,buoojc_neso
buộc nút,buộc_nút,buoojc_nust
buộc quai rọ,buộc_quai_rọ,buoojc_quai_roj
buộc thuốc,buộc_thuốc,buoojc_thuoosc
buộc tội,buộc_tội,buoojc_tooji
buộc trói,buộc_trói,buoojc_trosi
buộc túm,buộc_túm,buoojc_tusm
buồi,buồi,buoofi
buổi,buổi,buoori
buổi chiều,buổi_chiều,buoori_chieefu
buổi đực buổi cái,buổi_đực_buổi_cái,buoori_dduwjc_buoori_casi
buổi sáng,buổi_sáng,buoori_sasng
buổi sớm,buổi_sớm,buoori_sowsm
buổi tối,buổi_tối,buoori_toosi
buổi trưa,buổi_trưa,buoori_truwa
buồm,buồm,buoofm
buồm câu,buồm_câu,buoofm_caau
buồm dọc,buồm_dọc,buoofm_dojc
buồm én,buồm_én,buoofm_esn
buồm lái,buồm_lái,buoofm_lasi
buồm lòng,buồm_lòng,buoofm_lofng
buồm mũi,buồm_mũi,buoofm_muxi
buồm vẹt,buồm_vẹt,buoofm_vejt
buôn,buôn,buoon
buôn bạc,buôn_bạc,buoon_bajc
buôn bán,buôn_bán,buoon_basn
buôn buốt,buôn_buốt,buoon_buoost
buôn cất,buôn_cất,buoon_caast
buôn chín bán mười,buôn_chín_bán_mười,buoon_chisn_basn_muwowfi
buôn choah,buôn_choah,buoon_choah
buôn chuyến,buôn_chuyến,buoon_chuyeesn
"buôn có bạn, bán có phường","buôn_có_bạn,_bán_có_phường","buoon_cos_bajn,_basn_cos_phuwowfng"
"buôn có một, bán có mười","buôn_có_một,_bán_có_mười","buoon_cos_moojt,_basn_cos_muwowfi"
buôn dạ bán nhường,buôn_dạ_bán_nhường,buoon_daj_basn_nhuwowfng
buôn danh bán tiếng,buôn_danh_bán_tiếng,buoon_danh_basn_tieesng
buôn dân bán nước,buôn_dân_bán_nước,buoon_daan_basn_nuwowsc
"buôn đầu chợ, bán cuối chợ","buôn_đầu_chợ,_bán_cuối_chợ","buoon_ddaafu_chowj,_basn_cuoosi_chowj"
buôn đầu chợ bán cuối chợ,buôn_đầu_chợ_bán_cuối_chợ,buoon_ddaafu_chowj_basn_cuoosi_chowj
buôn đôn,buôn_đôn,buoon_ddoon
buôn gánh bán bưng,buôn_gánh_bán_bưng,buoon_gasnh_basn_buwng
"buôn gặp chầu, câu gặp chỗ","buôn_gặp_chầu,_câu_gặp_chỗ","buoon_gawjp_chaafu,_caau_gawjp_choox"
buôn gian bán lận,buôn_gian_bán_lận,buoon_gian_basn_laajn
buôn gian bán lậu,buôn_gian_bán_lậu,buoon_gian_basn_laaju
buôn hàng xách,buôn_hàng_xách,buoon_hafng_xasch
buôn hoa bán nguyệt,buôn_hoa_bán_nguyệt,buoon_hoa_basn_nguyeejt
buôn hồ,buôn_hồ,buoon_hoof
buôn hương bán phấn,buôn_hương_bán_phấn,buoon_huwowng_basn_phaasn
buôn làng,buôn_làng,buoon_lafng
buôn lậu,buôn_lậu,buoon_laaju
buôn ma thuột,buôn_ma_thuột,buoon_ma_thuoojt
buôn may bán đắt,buôn_may_bán_đắt,buoon_may_basn_ddawst
buôn may bán gió,buôn_may_bán_gió,buoon_may_basn_gios
buôn mây bán gió,buôn_mây_bán_gió,buoon_maay_basn_gios
buôn một lãi mười,buôn_một_lãi_mười,buoon_moojt_laxi_muwowfi
buôn ngồi,buôn_ngồi,buoon_ngoofi
buôn nguyệt bán hoa,buôn_nguyệt_bán_hoa,buoon_nguyeejt_basn_hoa
buôn ngược bán xuôi,buôn_ngược_bán_xuôi,buoon_nguwowjc_basn_xuooi
buôn người,buôn_người,buoon_nguwowfi
buôn nước bọt,buôn_nước_bọt,buoon_nuwowsc_bojt
buôn phấn bán hương,buôn_phấn_bán_hương,buoon_phaasn_basn_huwowng
buôn phấn bán son,buôn_phấn_bán_son,buoon_phaasn_basn_son
buôn quan bán tước,buôn_quan_bán_tước,buoon_quan_basn_tuwowsc
"buôn quan tám, bán quan tư","buôn_quan_tám,_bán_quan_tư","buoon_quan_tasm,_basn_quan_tuw"
buôn quan tám bán quan tư,buôn_quan_tám_bán_quan_tư,buoon_quan_tasm_basn_quan_tuw
buôn tài không bằng dài vốn,buôn_tài_không_bằng_dài_vốn,buoon_tafi_khoong_bawfng_dafi_voosn
buôn tảo bán tần,buôn_tảo_bán_tần,buoon_taro_basn_taafn
buôn tần bán sở,buôn_tần_bán_sở,buoon_taafn_basn_sowr
buôn tần bán tảo,buôn_tần_bán_tảo,buoon_taafn_basn_taro
"buôn tận gốc, bán tận ngọn","buôn_tận_gốc,_bán_tận_ngọn","buoon_taajn_goosc,_basn_taajn_ngojn"
buôn thần bán thánh,buôn_thần_bán_thánh,buoon_thaafn_basn_thasnh
buôn thất nghiệp lãi quan viên,buôn_thất_nghiệp_lãi_quan_viên,buoon_thaast_nghieejp_laxi_quan_vieen
buôn thịt bán người,buôn_thịt_bán_người,buoon_thijt_basn_nguwowfi
buôn thua bán lỗ,buôn_thua_bán_lỗ,buoon_thua_basn_loox
buôn thúng bán bưng,buôn_thúng_bán_bưng,buoon_thusng_basn_buwng
buôn thúng bán mẹt,buôn_thúng_bán_mẹt,buoon_thusng_basn_mejt
buôn tiền,buôn_tiền,buoon_tieefn
buôn tranh bán cướp,buôn_tranh_bán_cướp,buoon_tranh_basn_cuwowsp
buôn trầm bán hương,buôn_trầm_bán_hương,buoon_traafm_basn_huwowng
buôn trấp,buôn_trấp,buoon_traasp
buôn trâu bán chả,buôn_trâu_bán_chả,buoon_traau_basn_char
buôn tría,buôn_tría,buoon_trisa
buôn triết,buôn_triết,buoon_trieest
buôn vạn bán nghìn,buôn_vạn_bán_nghìn,buoon_vajn_basn_nghifn
buôn xuôi bán ngược,buôn_xuôi_bán_ngược,buoon_xuooi_basn_nguwowjc
buồn,buồn,buoofn
buồn bã,buồn_bã,buoofn_bax
buồn buồn,buồn_buồn,buoofn_buoofn
buồn buột,buồn_buột,buoofn_buoojt
buồn bực,buồn_bực,buoofn_buwjc
buồn cả ruột,buồn_cả_ruột,buoofn_car_ruoojt
buồn cười,buồn_cười,buoofn_cuwowfi
buồn hiu,buồn_hiu,buoofn_hiu
buồn lòng,buồn_lòng,buoofn_lofng
buồn mình,buồn_mình,buoofn_mifnh
buồn ngủ,buồn_ngủ,buoofn_ngur
buồn ngủ buồn nghê,buồn_ngủ_buồn_nghê,buoofn_ngur_buoofn_nghee
buồn ngủ díp mắt,buồn_ngủ_díp_mắt,buoofn_ngur_disp_mawst
buồn ngủ gặp chiếu manh,buồn_ngủ_gặp_chiếu_manh,buoofn_ngur_gawjp_chieesu_manh
buồn ngủ lại gặp chiếu manh,buồn_ngủ_lại_gặp_chiếu_manh,buoofn_ngur_laji_gawjp_chieesu_manh
buồn như chấu cắn,buồn_như_chấu_cắn,buoofn_nhuw_chaasu_cawsn
buồn như trấu cắn,buồn_như_trấu_cắn,buoofn_nhuw_traasu_cawsn
buồn nôn,buồn_nôn,buoofn_noon
buồn phiền,buồn_phiền,buoofn_phieefn
buồn rầu,buồn_rầu,buoofn_raafu
buồn rười rượi,buồn_rười_rượi,buoofn_ruwowfi_ruwowji
buồn rượi,buồn_rượi,buoofn_ruwowji
buồn tanh,buồn_tanh,buoofn_tanh
buồn tẻ,buồn_tẻ,buoofn_ter
buồn teo,buồn_teo,buoofn_teo
buồn tênh,buồn_tênh,buoofn_teenh
buồn thảm,buồn_thảm,buoofn_tharm
buồn thiu,buồn_thiu,buoofn_thiu
buồn tình,buồn_tình,buoofn_tifnh
buồn tình như đĩ về già,buồn_tình_như_đĩ_về_già,buoofn_tifnh_nhuw_ddix_veef_giaf
buồn tủi,buồn_tủi,buoofn_turi
buồn xo,buồn_xo,buoofn_xo
buông,buông,buoong
buông cần,buông_cần,buoong_caafn
buông câu,buông_câu,buoong_caau
buông giầm cầm chèo,buông_giầm_cầm_chèo,buoong_giaafm_caafm_chefo
buông lỏng,buông_lỏng,buoong_lorng
buông lơi,buông_lơi,buoong_lowi
buông lời,buông_lời,buoong_lowfi
buông lửng,buông_lửng,buoong_luwrng
buông mành,buông_mành,buoong_mafnh
buông miệng,buông_miệng,buoong_mieejng
buông mối chỉ hồng,buông_mối_chỉ_hồng,buoong_moosi_chir_hoofng
buông quăng bỏ vãi,buông_quăng_bỏ_vãi,buoong_quawng_bor_vaxi
buông rộng thả dài,buông_rộng_thả_dài,buoong_roojng_thar_dafi
buông tay,buông_tay,buoong_tay
buông tha,buông_tha,buoong_tha
buông thả,buông_thả,buoong_thar
buông thõng,buông_thõng,buoong_thoxng
buông trôi,buông_trôi,buoong_trooi
buông tuồng,buông_tuồng,buoong_tuoofng
buông xõa,buông_xõa,buoong_xoxa
buông xõng,buông_xõng,buoong_xoxng
buông xuôi,buông_xuôi,buoong_xuooi
buồng,buồng,buoofng
buồng đào,buồng_đào,buoofng_ddafo
buồng đẻ,buồng_đẻ,buoofng_dder
buồng giấy,buồng_giấy,buoofng_giaasy
buồng gói,buồng_gói,buoofng_gosi
buồng hương,buồng_hương,buoofng_huwowng
buồng khách,buồng_khách,buoofng_khasch
buồng không,buồng_không,buoofng_khoong
buồng khuê,buồng_khuê,buoofng_khuee
buồng lái,buồng_lái,buoofng_lasi
buồng loan,buồng_loan,buoofng_loan
buồng máy,buồng_máy,buoofng_masy
buồng the,buồng_the,buoofng_the
buồng thêu,buồng_thêu,buoofng_theeu
buồng tối,buồng_tối,buoofng_toosi
buồng trứng,buồng_trứng,buoofng_truwsng
buồng xuân,buồng_xuân,buoofng_xuaan
buốt,buốt,buoost
buốt gan tím ruột,buốt_gan_tím_ruột,buoost_gan_tism_ruoojt
buốt như kim châm,buốt_như_kim_châm,buoost_nhuw_kim_chaam
buốt ruột,buốt_ruột,buoost_ruoojt
buột,buột,buoojt
buột miệng,buột_miệng,buoojt_mieejng
buột tay,buột_tay,buoojt_tay
búp,búp,busp
búp-bê,búp-bê,busp-bee
búp bê,búp_bê,busp_bee
búp đa,búp_đa,busp_dda
búp măng,búp_măng,busp_mawng
búp phê,búp_phê,busp_phee
búp-phê,búp-phê,busp-phee
bụp,bụp,bujp
bupbê,bupbê,bupbee
bupphê,bupphê,bupphee
bút,bút,bust
bút bi,bút_bi,bust_bi
bút chì,bút_chì,bust_chif
bút chì xanh đỏ,bút_chì_xanh_đỏ,bust_chif_xanh_ddor
bút chiến,bút_chiến,bust_chieesn
bút chổi,bút_chổi,bust_choori
bút cứ,bút_cứ,bust_cuws
bút dạ,bút_dạ,bust_daj
bút danh,bút_danh,bust_danh
bút đàm,bút_đàm,bust_ddafm
bút điện,bút_điện,bust_ddieejn
bút giá,bút_giá,bust_gias
bút hiệu,bút_hiệu,bust_hieeju
bút hoa,bút_hoa,bust_hoa
bút kí,bút_kí,bust_kis
bút lông,bút_lông,bust_loong
bút lục,bút_lục,bust_lujc
bút lực,bút_lực,bust_luwjc
bút máy,bút_máy,bust_masy
bút mặc,bút_mặc,bust_mawjc
bút nghiên,bút_nghiên,bust_nghieen
bút ngỗng,bút_ngỗng,bust_ngooxng
bút pháp,bút_pháp,bust_phasp
bút phớt,bút_phớt,bust_phowst
bút sa gà chết,bút_sa_gà_chết,bust_sa_gaf_cheest
bút sắt,bút_sắt,bust_sawst
bút son,bút_son,bust_son
bút tháp,bút_tháp,bust_thasp
bút thần,bút_thần,bust_thaafn
bút tích,bút_tích,bust_tisch
bút trận,bút_trận,bust_traajn
bụt,bụt,bujt
bụt chùa nhà không thiêng,bụt_chùa_nhà_không_thiêng,bujt_chufa_nhaf_khoong_thieeng
bụt không thèm ăn mày ma,bụt_không_thèm_ăn_mày_ma,bujt_khoong_thefm_awn_mafy_ma
bụt mọc,bụt_mọc,bujt_mojc
bụt nam-sang lại từ oản chiêm,bụt_nam-sang_lại_từ_oản_chiêm,bujt_nam-sang_laji_tuwf_oarn_chieem
bụt nhiều oản ít,bụt_nhiều_oản_ít,bujt_nhieefu_oarn_ist
bụt ốc,bụt_ốc,bujt_oosc
bụt trên toà gà nào mổ mắt,bụt_trên_toà_gà_nào_mổ_mắt,bujt_treen_toaf_gaf_nafo_moor_mawst
buy-rô,buy-rô,buy-roo
buy-vét,buy-vét,buy-vest
buýp-phê,buýp-phê,buysp-phee
buýt,buýt,buyst
bư bứ,bư_bứ,buw_buws
bứ,bứ,buws
bứ bự,bứ_bự,buws_buwj
bứ cổ,bứ_cổ,buws_coor
bứ đến cổ,bứ_đến_cổ,buws_ddeesn_coor
bứ họng,bứ_họng,buws_hojng
bứ rượu,bứ_rượu,buws_ruwowju
bự,bự,buwj
bự cồ,bự_cồ,buwj_coof
bự phấn,bự_phấn,buwj_phaasn
bự rượu,bự_rượu,buwj_ruwowju
bưa,bưa,buwa
bừa,bừa,buwfa
bừa bãi,bừa_bãi,buwfa_baxi
bừa bịt; bừa bộn,bừa_bịt;_bừa_bộn,buwfa_bijt;_buwfa_boojn
bừa bộn,bừa_bộn,buwfa_boojn
bừa cào,bừa_cào,buwfa_cafo
bừa chữ nhi,bừa_chữ_nhi,buwfa_chuwx_nhi
bừa đĩa,bừa_đĩa,buwfa_ddixa
bừa ghim,bừa_ghim,buwfa_ghim
bừa lia,bừa_lia,buwfa_lia
bừa máy,bừa_máy,buwfa_masy
bừa mò,bừa_mò,buwfa_mof
bừa mứa,bừa_mứa,buwfa_muwsa
bừa ngả,bừa_ngả,buwfa_ngar
bừa phứa,bừa_phứa,buwfa_phuwsa
bừa răng,bừa_răng,buwfa_rawng
bừa san,bừa_san,buwfa_san
bừa xốc,bừa_xốc,buwfa_xoosc
bửa,bửa,buwra
bữa,bữa,buwxa
bữa ăn,bữa_ăn,buwxa_awn
bữa chén,bữa_chén,buwxa_chesn
bữa chính,bữa_chính,buwxa_chisnh
bữa cỗ,bữa_cỗ,buwxa_coox
bữa cơm,bữa_cơm,buwxa_cowm
bữa cơm bữa cháo,bữa_cơm_bữa_cháo,buwxa_cowm_buwxa_chaso
bữa đói bữa no,bữa_đói_bữa_no,buwxa_ddosi_buwxa_no
bữa đực bữa cái,bữa_đực_bữa_cái,buwxa_dduwjc_buwxa_casi
bữa giỗ,bữa_giỗ,buwxa_gioox
bữa hôm,bữa_hôm,buwxa_hoom
bữa hổm,bữa_hổm,buwxa_hoorm
bữa kia,bữa_kia,buwxa_kia
bữa lưng bữa vực,bữa_lưng_bữa_vực,buwxa_luwng_buwxa_vuwjc
bữa mai,bữa_mai,buwxa_mai
bữa ni,bữa_ni,buwxa_ni
bữa no bữa đói,bữa_no_bữa_đói,buwxa_no_buwxa_ddosi
bữa phụ,bữa_phụ,buwxa_phuj
bữa qua,bữa_qua,buwxa_qua
bữa rau bữa cháo,bữa_rau_bữa_cháo,buwxa_rau_buwxa_chaso
bữa rày,bữa_rày,buwxa_rafy
bữa sơ,bữa_sơ,buwxa_sow
bữa sơ tê,bữa_sơ_tê,buwxa_sow_tee
bữa sớm,bữa_sớm,buwxa_sowsm
bữa tê,bữa_tê,buwxa_tee
bữa tiệc,bữa_tiệc,buwxa_tieejc
bữa trước,bữa_trước,buwxa_truwowsc
bứa,bứa,buwsa
bựa,bựa,buwja
bức,bức,buwsc
bức bách,bức_bách,buwsc_basch
bức bàn,bức_bàn,buwsc_bafn
bức bối,bức_bối,buwsc_boosi
bức chí,bức_chí,buwsc_chis
bức cung,bức_cung,buwsc_cung
bức cửa,bức_cửa,buwsc_cuwra
bức điện,bức_điện,buwsc_ddieejn
bức hại,bức_hại,buwsc_haji
bức hàng,bức_hàng,buwsc_hafng
bức hiếp,bức_hiếp,buwsc_hieesp
bức hôn,bức_hôn,buwsc_hoon
bức rút,bức_rút,buwsc_rust
bức sốt,bức_sốt,buwsc_soost
bức thiết,bức_thiết,buwsc_thieest
bức tranh vân cẩu,bức_tranh_vân_cẩu,buwsc_tranh_vaan_caaru
bức tử,bức_tử,buwsc_tuwr
bức xạ,bức_xạ,buwsc_xaj
bức xạ cảm ứng,bức_xạ_cảm_ứng,buwsc_xaj_carm_uwsng
bức xạ kế,bức_xạ_kế,buwsc_xaj_kees
bức xúc,bức_xúc,buwsc_xusc
bực,bực,buwjc
bực bõ,bực_bõ,buwjc_box
bực bội,bực_bội,buwjc_booji
bực chí,bực_chí,buwjc_chis
bực dọc,bực_dọc,buwjc_dojc
bực mình,bực_mình,buwjc_mifnh
bực thân,bực_thân,buwjc_thaan
bực tức,bực_tức,buwjc_tuwsc
bưng,bưng,buwng
bưng biền,bưng_biền,buwng_bieefn
bưng bít,bưng_bít,buwng_bist
bưng bít miệng bình,bưng_bít_miệng_bình,buwng_bist_mieejng_bifnh
bưng bồng,bưng_bồng,buwng_boofng
bưng mắt bắt chim,bưng_mắt_bắt_chim,buwng_mawst_bawst_chim
bưng mặt,bưng_mặt,buwng_mawjt
bưng miệng,bưng_miệng,buwng_mieejng
bưng riềng,bưng_riềng,buwng_rieefng
bưng tai bịt mắt,bưng_tai_bịt_mắt,buwng_tai_bijt_mawst
bưng trống,bưng_trống,buwng_troosng
bừng,bừng,buwfng
bừng bừng,bừng_bừng,buwfng_buwfng
bừng tỉnh,bừng_tỉnh,buwfng_tirnh
bửng,bửng,buwrng
bứng,bứng,buwsng
bựng,bựng,buwjng
bước,bước,buwowsc
bước chân,bước_chân,buwowsc_chaan
bước đầu,bước_đầu,buwowsc_ddaafu
bước đi,bước_đi,buwowsc_ddi
bước đi bước nữa,bước_đi_bước_nữa,buwowsc_ddi_buwowsc_nuwxa
bước đường,bước_đường,buwowsc_dduwowfng
bước đường cùng,bước_đường_cùng,buwowsc_dduwowfng_cufng
bước đường cùng,bước_đường_cùng,buwowsc_dduwowfng_cufng
bước hẫng,bước_hẫng,buwowsc_haaxng
bước hụt,bước_hụt,buwowsc_hujt
bước lướt,bước_lướt,buwowsc_luwowst
bước một,bước_một,buwowsc_moojt
bước ngoặt,bước_ngoặt,buwowsc_ngoawjt
bước nhảy vọt,bước_nhảy_vọt,buwowsc_nhary_vojt
bước qua,bước_qua,buwowsc_qua
bước quân hành,bước_quân_hành,buwowsc_quaan_hafnh
bước ra,bước_ra,buwowsc_ra
bước sang,bước_sang,buwowsc_sang
bước sóng,bước_sóng,buwowsc_sosng
bước thấp bước cao,bước_thấp_bước_cao,buwowsc_thaasp_buwowsc_cao
bước tiến,bước_tiến,buwowsc_tieesn
bước vào,bước_vào,buwowsc_vafo
bươi,bươi,buwowi
bưởi,bưởi,buwowri
bưởi,bưởi,buwowri
bưởi đào,bưởi_đào,buwowri_ddafo
bưởi đường,bưởi_đường,buwowri_dduwowfng
bưởi rưởi,bưởi_rưởi,buwowri_ruwowri
bươm,bươm,buwowm
bươm bướm,bươm_bướm,buwowm_buwowsm
bướm,bướm,buwowsm
bướm bạc,bướm_bạc,buwowsm_bajc
bướm cải,bướm_cải,buwowsm_cari
bướm chán ong chường,bướm_chán_ong_chường,buwowsm_chasn_ong_chuwowfng
bướm đêm,bướm_đêm,buwowsm_ddeem
bướm lả ong lơi,bướm_lả_ong_lơi,buwowsm_lar_ong_lowi
bướm ong,bướm_ong,buwowsm_ong
bướm ống,bướm_ống,buwowsm_oosng
bướm quế,bướm_quế,buwowsm_quees
bướm sâu đo,bướm_sâu_đo,buwowsm_saau_ddo
bướm sói,bướm_sói,buwowsm_sosi
bướm trắng,bướm_trắng,buwowsm_trawsng
bươn,bươn,buwown
bươn bả,bươn_bả,buwown_bar
bươn chải,bươn_chải,buwown_chari
